역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,시간대총합
종각,하차,75173,163568,169485,293710,445286,476188,526532,448437,370527,318385,253051,226489,201279,105994,58095,36619,21174,11191,4643,1229,4207055
종로3가,승차,68538,76001,100275,146556,288418,468670,717549,1107268,1230055,1561215,1790722,1805838,1555231,1225284,918416,664302,454030,251418,82137,7770,14519693
종로3가,하차,92323,309370,347417,593761,1001037,1426336,1901156,2015025,1693258,1413635,1091643,896968,655698,344776,159400,91103,53713,29965,13901,6113,14136598
종로5가,승차,30252,31163,48977,84641,187644,372501,555970,698694,859682,1002197,1029040,937994,801976,562440,375283,240351,167691,79056,20846,1325,8087723
종로5가,하차,60043,189489,299816,405696,618138,839894,1011611,938754,815351,794963,652165,510747,327136,174071,87673,45568,27849,13978,6728,1289,7820959
지축,승차,22227,40075,58258,85786,105565,96763,81449,79602,76959,68078,75791,81674,58486,36243,28220,23302,14045,8038,2082,282,1042925
지축,하차,9817,54181,49984,41575,40571,50121,61573,66441,64233,71976,91218,99698,93107,71606,48041,38385,33910,18950,7511,862,1013760
창동,승차,223506,243551,302751,419662,478395,525466,534413,527897,492552,499685,593130,562254,457762,383962,237966,148985,111635,60338,21153,9488,6834551
창동,하차,62106,146751,183389,296812,393061,470260,477359,557815,647500,651318,665590,644080,582516,457212,318448,210531,150309,95635,39068,9408,7059168
천호,승차,206782,203166,244564,299244,366503,458998,535076,558041,570903,630018,711762,746026,619364,483508,313970,208806,137899,68664,19465,3717,7386476
천호,하차,85804,198904,189765,300123,427382,555599,655984,651222,705146,696803,721439,649786,533441,389107,243272,156879,121046,74072,30040,7985,7393799
청량리,승차,129370,112948,171751,228488,345497,502845,694261,794139,840541,932911,1027735,987513,747106,485818,277940,169851,97551,50579,19243,3446,8619533
청량리,하차,45484,155737,180283,310736,479911,762774,953441,962437,985883,980618,885227,715241,503679,314129,179212,107328,82102,51632,27368,6957,8690179
총신대입구,승차,82383,148462,177255,242141,372181,413304,420433,435543,471323,447647,436862,383549,323006,238481,195500,167956,78207,39474,10921,1481,5086109
총신대입구,하차,22222,110304,136367,229587,263864,348470,392878,402614,426442,478803,561990,564170,474708,360750,214188,142612,104035,60992,24694,3969,5323659
하계,승차,123553,122773,153022,224903,284448,299346,308718,286163,263559,269237,334043,285721,199610,128954,82107,98438,46490,17127,6188,810,3535210
하계,하차,33992,66771,107040,174859,226396,215269,221646,285322,318677,271683,293320,291322,262145,225504,161014,111148,83090,48139,23082,4652,3425071
혜화,승차,50592,64789,67512,104205,233840,359521,376876,320174,301592,398483,446938,395564,274333,163315,125915,109984,97814,55692,12977,929,3961045
혜화,하차,25614,155890,214275,374409,476799,420929,316600,333281,387894,312342,239176,197921,162339,121996,77056,47963,34811,22558,9760,1535,3933148
홍대입구,승차,119515,88005,109759,146767,190567,219568,224309,209977,211782,236870,255855,244472,195682,130846,90250,76290,70893,50956,15888,2344,2890595
홍대입구,하차,53606,140589,105092,137165,195782,193016,208752,196780,191272,201667,225293,232208,209271,152652,117473,81177,61306,38739,18842,5091,2765773
홍제,승차,159938,187609,254597,309177,406872,420167,411404,423296,373526,348935,344796,312179,232777,163159,114057,82000,54328,30326,9281,2398,4640822
홍제,하차,27936,101270,112223,154941,233222,289361,293217,304549,325062,374902,459898,463037,429989,333683,244028,178691,133916,83277,34516,5198,4582916
화곡,승차,273211,232915,300264,400052,413931,419449,399916,394838,351857,296975,283220,274540,215939,152773,112767,77334,52028,30510,8327,1966,4692812
화곡,하차,17161,111639,114009,176792,231453,243035,264154,281309,288855,329094,433492,487008,421423,363223,261572,190703,146203,96171,45511,8574,4511381
회현,승차,36104,47654,51085,71387,106101,197897,358991,524444,713155,906443,1042779,1043854,787054,324366,166441,110177,52195,28429,6605,486,6575647
회현,하차,19937,219961,232412,317443,505744,807229,1007704,862347,742214,668785,492212,296169,158329,79948,41820,26129,18399,16409,8240,2450,6523881
