호선명,지하철역,총승차인원,무임승차인원,총하차인원,무임하차인원,전체승하차,무임승하차,무임승하차비중
6,구산,237080.0,57105.0,180593.0,59481.0,417673.0,116586.0,27.91
6,녹사평,157571.0,18590.0,160969.0,18149.0,318540.0,36739.0,11.53
6,대흥,270622.0,49384.0,281582.0,49193.0,552204.0,98577.0,17.85
6,독바위,80401.0,21437.0,84959.0,26395.0,165360.0,47832.0,28.93
6,돌곶이,304544.0,66060.0,280650.0,65110.0,585194.0,131170.0,22.41
6,디지털미디어시티,414387.0,61725.0,446335.0,62422.0,860722.0,124147.0,14.42
6,마포구청,424134.0,84007.0,380124.0,76784.0,804258.0,160791.0,19.99
6,망원,463783.0,85481.0,495333.0,89100.0,959116.0,174581.0,18.2
6,버티고개,64186.0,14604.0,64434.0,16701.0,128620.0,31305.0,24.34
6,보문,233704.0,33040.0,216693.0,31271.0,450397.0,64311.0,14.28
6,봉화산,251693.0,52991.0,237028.0,52273.0,488721.0,105264.0,21.54
6,상수,309088.0,22332.0,349342.0,22523.0,658430.0,44855.0,6.81
6,상월곡,191565.0,43040.0,175356.0,41637.0,366921.0,84677.0,23.08
6,새절,370343.0,92437.0,345979.0,92578.0,716322.0,185015.0,25.83
6,석계,361930.0,83289.0,370835.0,82848.0,732765.0,166137.0,22.67
6,신내,12.0,1.0,0.0,0.0,12.0,1.0,8.33
6,안암,375092.0,38686.0,375991.0,38045.0,751083.0,76731.0,10.22
6,역촌,111649.0,35325.0,131103.0,34793.0,242752.0,70118.0,28.88
6,월곡,348950.0,71839.0,338516.0,71162.0,687466.0,143001.0,20.8
6,월드컵경기장,185256.0,59852.0,202141.0,58781.0,387397.0,118633.0,30.62
6,응암,516764.0,127624.0,511157.0,126704.0,1027921.0,254328.0,24.74
6,이태원,358734.0,31504.0,391713.0,31889.0,750447.0,63393.0,8.45
6,증산,284376.0,74103.0,282585.0,74764.0,566961.0,148867.0,26.26
6,창신,103270.0,19926.0,87145.0,18921.0,190415.0,38847.0,20.4
6,한강진,302426.0,20614.0,354942.0,20632.0,657368.0,41246.0,6.27
6,화랑대,342753.0,51768.0,273727.0,46797.0,616480.0,98565.0,15.99
6,효창공원앞,218774.0,39969.0,199665.0,37000.0,418439.0,76969.0,18.39
7,가산디지털단지,1154477.0,98985.0,1150220.0,93082.0,2304697.0,192067.0,8.33
7,강남구청,453643.0,54065.0,502605.0,55199.0,956248.0,109264.0,11.43
7,공릉,359567.0,77921.0,354017.0,78409.0,713584.0,156330.0,21.91
7,남구로,420412.0,65887.0,439155.0,66688.0,859567.0,132575.0,15.42
7,남성,331097.0,78978.0,313447.0,79144.0,644544.0,158122.0,24.53
7,내방,410799.0,76953.0,413573.0,74244.0,824372.0,151197.0,18.34
7,논현,512327.0,45626.0,531407.0,44584.0,1043734.0,90210.0,8.64
7,도봉산,263297.0,52765.0,312768.0,74776.0,576065.0,127541.0,22.14
7,뚝섬유원지,280973.0,45868.0,273544.0,45494.0,554517.0,91362.0,16.48
7,마들,382194.0,96782.0,358622.0,94945.0,740816.0,191727.0,25.88
7,먹골,299231.0,71685.0,295255.0,73234.0,594486.0,144919.0,24.38
7,면목,440555.0,101218.0,422568.0,103791.0,863123.0,205009.0,23.75
7,반포,187796.0,40370.0,180173.0,38386.0,367969.0,78756.0,21.4
7,보라매,198046.0,33269.0,204920.0,34464.0,402966.0,67733.0,16.81
7,사가정,470061.0,107704.0,471938.0,108645.0,941999.0,216349.0,22.97
7,상도,350932.0,66852.0,342231.0,63792.0,693163.0,130644.0,18.85
7,상봉,508844.0,79993.0,490653.0,76640.0,999497.0,156633.0,15.67
7,수락산,370617.0,106791.0,364921.0,108072.0,735538.0,214863.0,29.21
7,숭실대입구,406478.0,66974.0,407617.0,69178.0,814095.0,136152.0,16.72
7,신대방삼거리,433269.0,95525.0,414630.0,98119.0,847899.0,193644.0,22.84
7,신풍,332724.0,77373.0,312174.0,75981.0,644898.0,153354.0,23.78
7,어린이대공원,472469.0,46385.0,477982.0,46060.0,950451.0,92445.0,9.73
7,온수,283565.0,44422.0,262616.0,42015.0,546181.0,86437.0,15.83
7,용마산,169622.0,37080.0,167384.0,40314.0,337006.0,77394.0,22.97
7,이수,479384.0,85118.0,463584.0,80754.0,942968.0,165872.0,17.59
7,자양,310455.0,54109.0,303841.0,53962.0,614296.0,108071.0,17.59
7,장승배기,269643.0,71128.0,262732.0,71963.0,532375.0,143091.0,26.88
7,장암,78394.0,14236.0,36704.0,10906.0,115098.0,25142.0,21.84
7,중계,424768.0,99732.0,390462.0,96522.0,815230.0,196254.0,24.07
7,중곡,315107.0,68009.0,296208.0,68724.0,611315.0,136733.0,22.37
7,중화,312055.0,68968.0,304743.0,68653.0,616798.0,137621.0,22.31
7,천왕,330062.0,63126.0,316349.0,63456.0,646411.0,126582.0,19.58
7,청담,524227.0,79748.0,571186.0,76997.0,1095413.0,156745.0,14.31
7,하계,526960.0,118719.0,493645.0,114395.0,1020605.0,233114.0,22.84
7,학동,637007.0,65892.0,664655.0,62892.0,1301662.0,128784.0,9.89
8,강동구청,301276.0,70703.0,308602.0,71501.0,609878.0,142204.0,23.32
8,몽촌토성,206879.0,36663.0,210579.0,36012.0,417458.0,72675.0,17.41
8,문정,595690.0,66160.0,620153.0,66019.0,1215843.0,132179.0,10.87
8,석촌,244204.0,56741.0,284699.0,59743.0,528903.0,116484.0,22.02
8,송파,275169.0,69511.0,269774.0,68579.0,544943.0,138090.0,25.34
8,암사,510235.0,112483.0,461278.0,110725.0,971513.0,223208.0,22.98
8,암사역사공원,179560.0,34333.0,159043.0,33319.0,338603.0,67652.0,19.98
8,장지,499917.0,90185.0,462047.0,85257.0,961964.0,175442.0,18.24
9,가양,640487.0,143821.0,624800.0,140972.0,1265287.0,284793.0,22.51
9,개화,77648.0,13560.0,53392.0,10971.0,131040.0,24531.0,18.72
9,공항시장,87644.0,24745.0,93641.0,26627.0,181285.0,51372.0,28.34
9,구반포,40364.0,9863.0,38871.0,9737.0,79235.0,19600.0,24.74
9,국회의사당,474200.0,64371.0,484139.0,57952.0,958339.0,122323.0,12.76
9,노들,147810.0,34964.0,124278.0,32133.0,272088.0,67097.0,24.66
9,노량진,773829.0,91179.0,763448.0,90996.0,1537277.0,182175.0,11.85
9,등촌,349933.0,90216.0,335943.0,91029.0,685876.0,181245.0,26.43
9,마곡나루,399673.0,40007.0,392298.0,38995.0,791971.0,79002.0,9.98
9,사평,117034.0,25406.0,112799.0,25429.0,229833.0,50835.0,22.12
9,샛강,183836.0,30690.0,181903.0,30353.0,365739.0,61043.0,16.69
9,선유도,248011.0,33075.0,232403.0,32261.0,480414.0,65336.0,13.6
9,신논현,916236.0,56569.0,916217.0,55036.0,1832453.0,111605.0,6.09
9,신목동,127417.0,26008.0,112498.0,24721.0,239915.0,50729.0,21.14
9,신반포,125990.0,29239.0,124035.0,29308.0,250025.0,58547.0,23.42
9,신방화,202870.0,49967.0,198595.0,50170.0,401465.0,100137.0,24.94
9,양천향교,289659.0,49752.0,294136.0,49308.0,583795.0,99060.0,16.97
9,염창,514529.0,80870.0,492565.0,78794.0,1007094.0,159664.0,15.85
9,증미,219073.0,38743.0,210572.0,38823.0,429645.0,77566.0,18.05
9,흑석,274749.0,60214.0,279485.0,60496.0,554234.0,120710.0,21.78
"3,8",가락시장,499142.0,149493.0,517546.0,148748.0,1016688.0,298241.0,29.33
"2,7",건대입구,1514545.0,160449.0,1584989.0,158811.0,3099534.0,319260.0,10.3
"3,7,9",고속터미널,2526704.0,378399.0,2523557.0,369982.0,5050261.0,748381.0,14.82
"5,6",공덕,948702.0,133694.0,949611.0,125787.0,1898313.0,259481.0,13.67
"2,3",교대,1330717.0,237048.0,1305183.0,227756.0,2635900.0,464804.0,17.63
"5,7",군자,785877.0,132473.0,726097.0,123065.0,1511974.0,255538.0,16.9
"5,9",김포공항,530431.0,70323.0,557489.0,71426.0,1087920.0,141749.0,13.03
"4,7",노원,1278860.0,265098.0,1389731.0,265470.0,2668591.0,530568.0,19.88
"2,9",당산,1086434.0,134157.0,1153742.0,134381.0,2240176.0,268538.0,11.99
"2,7",대림,989147.0,182965.0,1006134.0,186565.0,1995281.0,369530.0,18.52
"1,4",동대문,932876.0,279178.0,940024.0,274204.0,1872900.0,553382.0,29.55
"2,4,5",동대문역사문화공원,1099733.0,133930.0,1106872.0,132983.0,2206605.0,266913.0,12.1
"1,6",동묘앞,570181.0,229441.0,579997.0,226056.0,1150178.0,455497.0,39.6
"4,9",동작,109569.0,29737.0,104756.0,28535.0,214325.0,58272.0,27.19
"3,6",불광,628909.0,190903.0,657152.0,198424.0,1286061.0,389327.0,30.27
"2,4",사당,1988942.0,323350.0,2017546.0,317669.0,4006488.0,641019.0,16.0
"4,6",삼각지,408593.0,45762.0,409492.0,43629.0,818085.0,89391.0,10.93
"4,6",삼각지,452326.0,46910.0,462092.0,44925.0,914418.0,91835.0,10.04
"1,4",서울역,2155185.0,271561.0,2358354.0,275553.0,4513539.0,547114.0,12.12
"1,2",시청,1504288.0,170657.0,1458576.0,162682.0,2962864.0,333339.0,11.25
"2,6",신당,687585.0,132734.0,712506.0,133571.0,1400091.0,266305.0,19.02
"1,2",신설동,525201.0,154123.0,508111.0,152088.0,1033312.0,306211.0,29.63
"3,6",약수,485940.0,106219.0,473228.0,100590.0,959168.0,206809.0,21.56
"5,9",여의도,1643461.0,114204.0,1652659.0,107101.0,3296120.0,221305.0,6.71
"3,6",연신내,1036393.0,264167.0,985977.0,255205.0,2022370.0,519372.0,25.68
"2,5",영등포구청,758286.0,126191.0,775157.0,124777.0,1533443.0,250968.0,16.37
"3,5",오금,291808.0,56755.0,273271.0,54128.0,565079.0,110883.0,19.62
"2,5",왕십리,602261.0,79888.0,577607.0,75030.0,1179868.0,154918.0,13.13
"2,3",을지로3가,1051252.0,125034.0,1045244.0,121016.0,2096496.0,246050.0,11.74
"2,5",을지로4가,589848.0,119702.0,592977.0,118251.0,1182825.0,237953.0,20.12
"2,8",잠실,2898750.0,309717.0,2944462.0,298290.0,5843212.0,608007.0,10.41
"1,3,5",종로3가,1557687.0,458436.0,1539083.0,445192.0,3096770.0,903628.0,29.18
"5,8",천호,1055612.0,253203.0,1108370.0,252351.0,2163982.0,505554.0,23.36
"5,6",청구,219899.0,44565.0,211920.0,42532.0,431819.0,87097.0,20.17
"3,4",충무로,867520.0,119883.0,893846.0,121889.0,1761366.0,241772.0,13.73
"2,5",충정로,417744.0,63616.0,436275.0,64124.0,854019.0,127740.0,14.96
"6,7",태릉입구,438855.0,87568.0,443702.0,85169.0,882557.0,172737.0,19.57
"2,6",합정,1379809.0,113748.0,1461301.0,111461.0,2841110.0,225209.0,7.93
